date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:49	2286/2286	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:07:54%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fweekend-wrap-up-13%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embedb713	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/)
16:07:49	35052/35052	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:55%20GMT	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/?replytocom=3097	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-13/index175f.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/)
16:07:49	35052/35052	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:55%20GMT	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/?replytocom=3096	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-13/indexe7c2.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/)
16:07:49	35052/35052	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:55%20GMT	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/?replytocom=3110	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-13/index174e.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/)
16:07:50	8147/8147	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/for-the-children/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/feed/index.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:50	2204/2204	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:07:56%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Ffor-the-children%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed24f0.json	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:51	2285/2285	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:07:57%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Ffor-the-children%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed8f6c	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:52	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:57%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3045	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/index34c2.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:52	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:58%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3042	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/indexd58e.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:52	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:58%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3047	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/index022b.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
